race,rclass,driver,position,points
R2022-16,gtc,SAPI,2,23
R2022-16,gtc,MAME,3,21
R2022-17,gtc,JOHA,1,25
R2022-17,gtc,MAME,2,23
R2022-17,gtc,SAPI,3,21
R2022-18,gtc,JOHA,1,25
R2022-18,gtc,SAPI,2,23
R2022-1,cayc,ROSU,1,25
R2022-1,cayc,NIDR,2,23
R2022-1,cayc,LEHI,3,21
R2022-1,cayc,PEWA,4,19
R2022-1,cayc,ANBR,5,18
R2022-1,cayc,ROVL,6,17
R2022-1,cayc,HENO,7,16
R2022-1,cayc,FRAS,8,15
R2022-1,cayc,JPHU,9,14
R2022-2,cayc,NIDR,1,25
R2022-2,cayc,ROSU,2,23
R2022-2,cayc,ANBR,3,21
R2022-2,cayc,ROVL,4,19
R2022-2,cayc,PEWA,5,18
R2022-2,cayc,HENO,6,17
R2022-2,cayc,JPHU,7,16
R2022-2,cayc,FRAS,8,15
R2022-3,cayc,TEHU,1,25
R2022-3,cayc,ROVL,2,23
R2022-3,cayc,ANBR,3,21
R2022-3,cayc,JPHU,4,19
R2022-3,cayc,PEWA,5,18
R2022-3,cayc,TEGO,6,17
R2022-3,cayc,HENO,7,16
R2022-3,cayc,NJST,8,15
R2022-3,cayc,GIGO,9,14
R2022-3,cayc,JWKO,10,13
R2022-3,cayc,SABA,11,12
R2022-3,cayc,NIDR,12,11
R2022-3,cayc,LEHI,13,10
R2022-3,cayc,ROSU,14,9
R2022-4,cayc,TEHU,1,25
R2022-4,cayc,ANBR,2,23
R2022-4,cayc,ROVL,3,21
R2022-4,cayc,NIDR,4,19
R2022-4,cayc,JPHU,5,18
R2022-4,cayc,GIGO,6,17
R2022-4,cayc,LEHI,7,16
R2022-4,cayc,NJST,8,15
R2022-4,cayc,ROSU,9,14
R2022-4,cayc,TEGO,10,13
R2022-4,cayc,HENO,11,12
R2022-4,cayc,JWKO,12,11
R2022-4,cayc,SABA,13,10
R2022-4,cayc,PEWA,14,9
R2022-5,cayc,TEHU,1,25
R2022-5,cayc,ANBR,2,23
R2022-5,cayc,LEHI,3,21
R2022-5,cayc,NIDR,4,19
R2022-5,cayc,GIGO,5,18
R2022-5,cayc,HENO,6,17
R2022-5,cayc,TEGO,7,16
R2022-5,cayc,NJST,8,15
R2022-5,cayc,JPHU,9,14
R2022-5,cayc,ROVL,10,13
R2022-5,cayc,ROSU,11,12
R2022-5,cayc,JWKO,12,11
R2022-5,cayc,SABA,13,10
R2022-5,cayc,PEWA,14,9
R2022-6,cayc,ROSU,1,25
R2022-6,cayc,NIDR,2,23
R2022-6,cayc,ANBR,3,21
R2022-6,cayc,PEWA,4,19
R2022-6,cayc,TEGO,5,18
R2022-6,cayc,JPHU,6,17
R2022-6,cayc,LEHI,7,16
R2022-6,cayc,ROVL,8,15
R2022-7,cayc,ANBR,1,25
R2022-7,cayc,ROSU,2,23
R2022-7,cayc,TEGO,3,21
R2022-7,cayc,NIDR,4,19
R2022-7,cayc,GIGO,5,18
R2022-7,cayc,LEHI,6,17
R2022-7,cayc,PEWA,7,16
R2022-7,cayc,JPHU,8,15
R2022-8,cayc,ROSU,1,25
R2022-8,cayc,TEGO,2,23
R2022-8,cayc,GIGO,3,21
R2022-8,cayc,NIDR,4,19
R2022-8,cayc,LEHI,5,18
R2022-9,cayc,ANBR,1,25
R2022-9,cayc,TEHU,2,23
R2022-9,cayc,LEHI,3,21
R2022-9,cayc,HENO,4,19
R2022-9,cayc,ROSU,5,18
R2022-9,cayc,BOIN,6,17
R2022-9,cayc,TEGO,7,16
R2022-9,cayc,SABA,8,15
R2022-10,cayc,ANBR,1,25
R2022-10,cayc,ROSU,2,23
R2022-10,cayc,TEGO,3,21
R2022-10,cayc,HENO,4,19
R2022-10,cayc,SABA,5,18
R2022-10,cayc,BOIN,6,17
R2022-10,cayc,LEHI,7,16
R2022-10,cayc,TEHU,8,15
R2022-11,cayc,ANBR,1,25
R2022-11,cayc,HENO,2,23
R2022-11,cayc,TEHU,3,21
R2022-11,cayc,LEHI,4,19
R2022-11,cayc,TEGO,5,18
R2022-11,cayc,ROSU,6,17
R2022-11,cayc,SABA,7,16
R2022-11,cayc,BOIN,8,15
R2022-12,cayc,ANBR,1,25
R2022-12,cayc,PEWA,2,23
R2022-12,cayc,GIGO,3,21
R2022-12,cayc,LEHI,4,19
R2022-12,cayc,NIDR,5,18
R2022-12,cayc,ROSU,6,17
R2022-12,cayc,JWKO,7,16
R2022-12,cayc,HENO,8,15
R2022-12,cayc,TEGO,9,14
R2022-13,cayc,PEWA,1,25
R2022-13,cayc,ANBR,2,23
R2022-13,cayc,ROSU,3,21
R2022-13,cayc,LEHI,4,19
R2022-13,cayc,JWKO,5,18
R2022-13,cayc,NIDR,6,17
R2022-13,cayc,GIGO,7,16
R2022-13,cayc,TEGO,8,15
R2022-14,cayc,ANBR,1,25
R2022-14,cayc,ROSU,2,23
R2022-14,cayc,NIDR,3,21
R2022-14,cayc,LEHI,4,19
R2022-14,cayc,ROVL,5,18
R2022-14,cayc,TEGO,6,17
R2022-14,cayc,JWOF,7,16
R2022-15,cayc,ANBR,1,25
